dolares,capital,capital_pesos,ciiu,Vencido,Días vencido,tipo_operacion,tasa_interes,plazo,output_1,ciiu_emb1,ciiu_emb2,plazo_emb1,plazo_emb2
1,57000.0,1807926.0,51900,0,0,1,6.0,3,0,0.8072708,-0.23176387,1.1681741,0.7304368
1,23000.0,729514.0,51900,0,0,1,6.0,3,0,0.8072708,-0.23176387,1.1681741,0.7304368
1,20000.0,634360.0,93090,0,0,1,8.0,3,0,-0.09393495,0.6802091,1.1681741,0.7304368
1,10000.0,317180.0,93090,0,0,1,8.0,3,0,-0.09393495,0.6802091,1.1681741,0.7304368
1,74000.0,2332332.0,71110,0,0,1,7.0,3,0,-0.7509599,0.6434941,1.1681741,0.7304368
1,50000.0,1575900.0,51430,0,0,1,7.5,3,0,0.8529021,1.0706525,1.1681741,0.7304368
1,20000.0,630360.0,51430,0,0,1,7.5,3,0,0.8529021,1.0706525,1.1681741,0.7304368
1,13493.37,425284.03566,51430,0,0,2,7.5,4,0,0.8529021,1.0706525,-0.23936123,0.14529034
1,31000.0,977058.0,52310,1,16,1,5.8,3,0,1.3962417,-0.13528237,1.1681741,0.7304368
1,20000.0,630360.0,72900,0,0,1,8.0,3,0,-0.9066446,1.394121,1.1681741,0.7304368
1,80000.0,2521440.0,51211,0,0,1,6.0,3,0,-0.24880093,0.45012644,1.1681741,0.7304368
1,75000.0,2363850.0,50300,0,0,1,8.0,2,0,0.041681875,0.19871044,0.04101171,0.36117008
1,20000.0,630360.0,51502,0,0,1,6.4,3,0,0.9997455,-0.37260506,1.1681741,0.7304368
1,2819.6,88868.1528,51502,0,0,2,7.8,4,0,0.9997455,-0.37260506,-0.23936123,0.14529034
1,25500.0,803709.0,51390,0,0,1,8.0,2,0,0.4813622,-0.86792165,0.04101171,0.36117008
1,80000.0,2521440.0,75230,0,0,1,6.0,3,0,-0.15355697,0.1140225,1.1681741,0.7304368
1,35000.0,1103130.0,32100,0,0,1,5.5,2,0,-0.97431225,0.76103,0.04101171,0.36117008
